Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:25,20-02-2026 14:45:26,"1,019s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 14:45:26,20-02-2026 14:45:27,"0,293s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,031s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,034s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,115s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,083s",PASSED
if (CurrentAddress),Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,310s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:27,"0,047s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:27,20-02-2026 14:45:28,"1,016s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:28,20-02-2026 14:45:28,"0,052s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:28,20-02-2026 14:45:29,"1,009s",PASSED
"if (Scenario.startsWith(""TC007""))",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:29,"0,004s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:29,"0,110s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:29,20-02-2026 14:45:30,"0,147s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:30,20-02-2026 14:45:31,"1,012s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:31,"0,104s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-3-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(State))",Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:31,"0,059s",PASSED
delay(2),Chrome 144.0.0.0,,,20-02-2026 14:45:31,20-02-2026 14:45:33,"2,028s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:33,"0,090s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_city_container""))",Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:33,"0,163s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:33,20-02-2026 14:45:34,"1,006s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,036s",PASSED
"executeJavaScript(""var o=document.querySelectorAll('[id^=react-select-4-option]'); for(var i=0;i<o.length;i++){if(o[i].innerText.trim()===arguments[0]){o[i].click();break;}}"", Arrays.asList(City))",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,029s",PASSED
"executeJavaScript(""document.getElementById('submit').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:34,"0,044s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:34,20-02-2026 14:45:35,"1,009s",PASSED
"popup = executeJavaScript(""return document.getElementById('example-modal-sizes-title-lg') ? document.getElementById('example-modal-sizes-title-lg').innerText.trim() : '';"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,034s",PASSED
"formSubmitted = popup.equals(""Thanks for submitting the form"")",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,001s",PASSED
"shouldPass = ExpectedResult.equals(""PASS"")",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,002s",PASSED
"if (Scenario.startsWith(""TC008""))",Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,001s",PASSED
takeScreenshot(),Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,163s",PASSED
if (formSubmitted == shouldPass),Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,002s",PASSED
if (formSubmitted),Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:35,"0,000s",PASSED
delay(3),Chrome 144.0.0.0,,,20-02-2026 14:45:35,20-02-2026 14:45:38,"3,015s",PASSED
closeBrowser(),Chrome 144.0.0.0,,,20-02-2026 14:45:38,20-02-2026 14:45:39,"0,582s",PASSED
,,,,,,,
Test Cases/TC_StudentForm_DDT,Chrome 144.0.0.0,DDT Student Form - runs all rows from Student Data Scenario.csv,,20-02-2026 14:45:39,20-02-2026 14:46:02,"22,720s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 14:45:39,20-02-2026 14:45:40,"1,200s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 14:45:40,20-02-2026 14:45:44,"3,735s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 14:45:44,20-02-2026 14:45:44,"0,092s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 14:45:44,20-02-2026 14:45:44,"0,028s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 14:45:44,20-02-2026 14:45:44,"0,252s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:44,20-02-2026 14:45:44,"0,091s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:44,20-02-2026 14:45:45,"0,559s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:45,20-02-2026 14:45:46,"1,021s",PASSED
